,state,date,R,CI_lower,CI_upper
0,Meghalaya,4/13/20,,,
1,Meghalaya,4/15/20,,,
2,Meghalaya,4/16/20,,,
3,Meghalaya,4/18/20,,,
4,Meghalaya,4/21/20,0.689207338,0.421359008,0.957055668
5,Meghalaya,5/1/20,,,
6,Meghalaya,5/9/20,,,
7,Meghalaya,5/13/20,,,
8,Meghalaya,5/18/20,,,
9,Meghalaya,5/20/20,,,
10,Meghalaya,5/25/20,,,
11,Meghalaya,5/26/20,,,
12,Meghalaya,5/28/20,1.28946725,0.582287135,1.996647366
13,Meghalaya,5/29/20,1.684528187,0.768410986,2.600645388
14,Meghalaya,6/1/20,0.762147274,0,1.524294548
15,Meghalaya,6/2/20,0.320431965,0.017478477,0.623385453
16,Meghalaya,6/3/20,0.859441455,0.431142376,1.287740534
17,Meghalaya,6/7/20,0.785495038,0,1.570990076
18,Meghalaya,6/8/20,1.630688233,0.753343406,2.50803306
19,Meghalaya,6/9/20,1.749320016,0.826388413,2.672251619
20,Meghalaya,6/10/20,1.085099543,0.292853611,1.877345474
21,Meghalaya,6/11/20,,,
22,Meghalaya,6/12/20,,,
23,Meghalaya,6/13/20,,,
24,Meghalaya,6/14/20,,,
25,Meghalaya,6/16/20,,,
26,Meghalaya,6/17/20,,,
27,Meghalaya,6/18/20,,,
28,Manipur,4/2/20,,,
29,Manipur,4/6/20,,,
30,Manipur,5/14/20,,,
31,Manipur,5/16/20,,,
32,Manipur,5/19/20,,,
33,Manipur,5/20/20,2.561485407,1.711178622,3.411792191
34,Manipur,5/22/20,1.305800227,0.542546931,2.069053523
35,Manipur,5/23/20,0.509585374,0.326605725,0.692565023
36,Manipur,5/24/20,0,0,0
37,Manipur,5/25/20,0,0,0
38,Manipur,5/26/20,2.242453325,1.68976666,2.79513999
39,Manipur,5/27/20,2.060131768,1.786196949,2.334066587
40,Manipur,5/28/20,3.509467048,3.298467373,3.720466724
41,Manipur,5/29/20,0.956494312,0.757032921,1.155955702
42,Manipur,5/30/20,0,0,0
43,Manipur,5/31/20,0,0,0
44,Manipur,6/1/20,1.636317521,0.941250615,2.331384427
45,Manipur,6/2/20,2.647918433,1.663112973,3.632723893
46,Manipur,6/3/20,,,
